user_id,item_id,timestamp
u15,i06,1700000000
u26,i08,1700000060
u27,i08,1700000120
u05,i05,1700000180
u26,i14,1700000240
u17,i14,1700000300
u08,i08,1700000360
u06,i09,1700000420
u25,i13,1700000480
u25,i04,1700000540
u08,i02,1700000600
u01,i13,1700000660
u19,i13,1700000720
u11,i05,1700000780
u17,i08,1700000840
u20,i05,1700000900
u29,i05,1700000960
u12,i12,1700001020
u07,i10,1700001080
u20,i08,1700001140
u02,i11,1700001200
u21,i09,1700001260
u06,i03,1700001320
u03,i13,1700001380
u03,i11,1700001440
u20,i02,1700001500
u24,i03,1700001560
u08,i11,1700001620
u07,i01,1700001680
u25,i01,1700001740
u01,i07,1700001800
u26,i11,1700001860
u30,i03,1700001920
u13,i01,1700001980
u01,i11,1700002040
u18,i12,1700002100
u23,i11,1700002160
u06,i02,1700002220
u26,i02,1700002280
u04,i07,1700002340
u25,i12,1700002400
u05,i07,1700002460
u01,i10,1700002520
u03,i12,1700002580
u15,i09,1700002640
u12,i09,1700002700
u28,i01,1700002760
u21,i03,1700002820
u13,i07,1700002880
u10,i07,1700002940
u05,i12,1700003000
u04,i13,1700003060
u28,i03,1700003120
u29,i02,1700003180
u13,i04,1700003240
u15,i12,1700003300
u30,i12,1700003360
u24,i09,1700003420
u29,i11,1700003480
u14,i14,1700003540
u16,i13,1700003600
u29,i08,1700003660
u05,i08,1700003720
u21,i06,1700003780
u28,i13,1700003840
u14,i11,1700003900
u17,i13,1700003960
u21,i02,1700004020
u10,i01,1700004080
u16,i04,1700004140
u27,i06,1700004200
u24,i06,1700004260
u24,i12,1700004320
u19,i02,1700004380
u19,i07,1700004440
u23,i05,1700004500
u29,i14,1700004560
u14,i05,1700004620
u07,i04,1700004680
u20,i11,1700004740
u23,i14,1700004800
u17,i05,1700004860
u16,i10,1700004920
u03,i09,1700004980
u28,i10,1700005040
u30,i09,1700005100
u14,i03,1700005160
u27,i05,1700005220
u06,i11,1700005280
u23,i03,1700005340
u25,i10,1700005400
u12,i03,1700005460
u30,i06,1700005520
u01,i04,1700005580
u22,i01,1700005640
u19,i04,1700005700
u21,i12,1700005760
u05,i02,1700005820
u24,i02,1700005880
u17,i11,1700005940
u06,i12,1700006000
u13,i08,1700006060
u23,i02,1700006120
u14,i02,1700006180
u10,i10,1700006240
u18,i03,1700006300
u28,i07,1700006360
u22,i07,1700006420
u09,i03,1700006480
u02,i08,1700006540
u11,i02,1700006600
u27,i12,1700006660
u25,i07,1700006720
u19,i10,1700006780
u03,i03,1700006840
u23,i01,1700006900
u27,i09,1700006960
u28,i14,1700007020
u04,i11,1700007080
u11,i08,1700007140
u22,i09,1700007200
u10,i04,1700007260
u22,i04,1700007320
u19,i01,1700007380
u20,i14,1700007440
u07,i07,1700007500
u02,i02,1700007560
u27,i03,1700007620
u09,i09,1700007680
u01,i01,1700007740
u12,i11,1700007800
u07,i13,1700007860
u18,i06,1700007920
u02,i14,1700007980
u16,i01,1700008040
u11,i11,1700008100
u02,i10,1700008160
u02,i05,1700008220
u22,i13,1700008280
u09,i06,1700008340
u11,i03,1700008400
u03,i06,1700008460
u13,i13,1700008520
u04,i10,1700008580
